first_seen	node_name	fuse_first	n_ids_first	rows
217	ffn_moe_gate-8.dst	1	4	4
218	ffn_moe_up-8.dst	1	4	4
219	ffn_gate-8.dst	1	4	4
220	ffn_up-8.dst	1	4	4
221	shared_expert_gate-8.dst	1	2	4
222	ffn_moe_down-8.dst	1	4	4
223	ffn_shexp-8.dst	1	4	4
224	ffn_shexp_gated-8.dst	1	4	4
225	ffn_moe_weights_norm-8.dst	1	4	4
226	ffn_moe_weighted-8.dst	1	4	4
227	ffn_moe_out-8.dst	7	4	4
228	l_out-8.dst	2	4	4
229	attn_norm-9.dst	2	4	4
230	node_880.dst	1	4	4
231	node_901.dst	1	4	4
232	node_907.dst	1	4	4
233	node_903.dst	1	4	4
234	gate-9.dst	1	4	4
235	z-9.dst	1	4	4
236	norm-9.dst	1	4	4
237	node_917.dst	1	4	4
238	node_921.dst	1	4	4
239	attn_residual-9.dst	1	4	4
240	linear_attn_out-9.dst	1	4	4
241	attn_post_norm-9.dst	2	4	4
242	ffn_moe_logits_raw-9.dst	1	4	4
243	ffn_moe_gate-9.dst	1	4	4
244	ffn_moe_up-9.dst	1	4	4
245	ffn_gate-9.dst	1	4	4
246	ffn_up-9.dst	1	4	4
247	shared_expert_gate-9.dst	1	2	4
248	ffn_moe_down-9.dst	1	4	4
249	ffn_shexp-9.dst	1	4	4
250	ffn_shexp_gated-9.dst	1	4	4
251	ffn_moe_weights_norm-9.dst	1	4	4
252	ffn_moe_weighted-9.dst	1	4	4
253	ffn_moe_out-9.dst	7	4	4
254	l_out-9.dst	2	4	4
255	attn_norm-10.dst	2	4	4
256	node_979.dst	1	4	4
257	node_1000.dst	1	4	4
258	node_1006.dst	1	4	4
259	node_1002.dst	1	4	4
260	gate-10.dst	1	4	4
261	norm-10.dst	1	4	4
262	z-10.dst	1	4	3
263	node_1016.dst	1	4	4
264	node_1020.dst	1	4	4
265	attn_residual-10.dst	1	4	4
266	linear_attn_out-10.dst	1	4	4
267	attn_post_norm-10.dst	2	4	4
268	ffn_moe_logits_raw-10.dst	1	4	4
269	ffn_moe_gate-10.dst	1	4	4
270	ffn_moe_up-10.dst	1	4	4
271	ffn_gate-10.dst	1	4	4
272	ffn_up-10.dst	1	4	4
273	shared_expert_gate-10.dst	1	2	4
274	ffn_moe_down-10.dst	1	4	4
275	ffn_shexp-10.dst	1	4	4
276	ffn_shexp_gated-10.dst	1	4	4
277	ffn_moe_weights_norm-10.dst	1	4	4
278	ffn_moe_weighted-10.dst	1	4	4
279	ffn_moe_out-10.dst	7	4	4
280	l_out-10.dst	2	4	4
281	attn_norm-11.dst	2	4	4
282	Qcur_full-11.dst	1	4	4
283	Vcur-11.dst	1	4	4
284	Kcur-11.dst	1	4	4
285	Qcur_normed-11.dst	2	4	4
286	Kcur_normed-11.dst	2	4	4
287	node_1101.dst	1	4	4
288	attn_gated-11.dst	1	4	4
289	attn_output-11.dst	1	4	4
290	attn_post_norm-11.dst	2	4	4
291	attn_residual-11.dst	1	4	4
292	ffn_moe_logits_raw-11.dst	1	4	4
293	ffn_moe_gate-11.dst	1	4	4
294	ffn_moe_up-11.dst	1	4	4
295	ffn_gate-11.dst	1	4	4
296	ffn_up-11.dst	1	4	4
297	shared_expert_gate-11.dst	1	2	4
298	ffn_moe_down-11.dst	1	4	4
299	ffn_shexp-11.dst	1	4	4
300	ffn_shexp_gated-11.dst	1	4	4
301	ffn_moe_weights_norm-11.dst	1	4	4
302	ffn_moe_weighted-11.dst	1	4	4
303	ffn_moe_out-11.dst	7	4	4
304	l_out-11.dst	2	4	4
305	attn_norm-12.dst	2	4	4
306	node_1165.dst	1	4	4
307	node_1186.dst	1	4	4
308	node_1192.dst	1	4	4
309	node_1188.dst	1	4	4
310	z-12.dst	1	4	4
311	gate-12.dst	1	4	4
312	norm-12.dst	1	4	4
313	node_1202.dst	1	4	4
314	attn_residual-12.dst	1	4	4
315	node_1206.dst	1	4	4
316	attn_post_norm-12.dst	2	4	4
317	linear_attn_out-12.dst	1	4	4
318	ffn_moe_logits_raw-12.dst	1	4	4
319	ffn_moe_gate-12.dst	1	4	4
320	ffn_moe_up-12.dst	1	4	4
321	ffn_gate-12.dst	1	4	4
322	ffn_up-12.dst	1	4	4
323	shared_expert_gate-12.dst	1	2	4
324	ffn_moe_down-12.dst	1	4	4
325	ffn_shexp-12.dst	1	4	4
326	ffn_shexp_gated-12.dst	1	4	4
327	ffn_moe_weights_norm-12.dst	1	4	4
328	ffn_moe_weighted-12.dst	1	4	4
329	ffn_moe_out-12.dst	7	4	4
330	l_out-12.dst	2	4	4
331	attn_norm-13.dst	2	4	4
332	node_1264.dst	1	4	4
333	node_1285.dst	1	4	4
334	node_1291.dst	1	4	4
335	node_1287.dst	1	4	4
336	z-13.dst	1	4	4
337	gate-13.dst	1	4	4
338	norm-13.dst	1	4	4
339	node_1301.dst	1	4	4
340	node_1305.dst	1	4	4
341	linear_attn_out-13.dst	1	4	4
342	attn_residual-13.dst	1	4	4
343	attn_post_norm-13.dst	2	4	4
344	ffn_moe_logits_raw-13.dst	1	4	4
345	ffn_moe_gate-13.dst	1	4	4
346	ffn_moe_up-13.dst	1	4	4
347	ffn_gate-13.dst	1	4	4
348	ffn_up-13.dst	1	4	4
349	shared_expert_gate-13.dst	1	2	4
350	ffn_moe_down-13.dst	1	4	4
351	ffn_shexp-13.dst	1	4	4
352	ffn_shexp_gated-13.dst	1	4	4
353	ffn_moe_weights_norm-13.dst	1	4	4
354	ffn_moe_weighted-13.dst	1	4	4
355	ffn_moe_out-13.dst	7	4	4
356	l_out-13.dst	2	4	4
357	attn_norm-14.dst	2	4	4
358	node_1363.dst	1	4	4
359	node_1384.dst	1	4	4
360	node_1390.dst	1	4	4
361	node_1386.dst	1	4	4
362	gate-14.dst	1	4	4
363	z-14.dst	1	4	4
364	norm-14.dst	1	4	4
365	node_1400.dst	1	4	4
366	node_1404.dst	1	4	4
367	linear_attn_out-14.dst	1	4	4
368	attn_residual-14.dst	1	4	4
369	attn_post_norm-14.dst	2	4	4
370	ffn_moe_logits_raw-14.dst	1	4	4
371	ffn_moe_gate-14.dst	1	4	4
372	ffn_moe_up-14.dst	1	4	4
373	ffn_gate-14.dst	1	4	4
374	ffn_up-14.dst	1	4	4
375	shared_expert_gate-14.dst	1	2	4
376	ffn_moe_down-14.dst	1	4	4
377	ffn_shexp-14.dst	1	4	4
378	ffn_shexp_gated-14.dst	1	4	4
379	ffn_moe_weights_norm-14.dst	1	4	4
380	ffn_moe_weighted-14.dst	1	4	4
381	ffn_moe_out-14.dst	7	4	4
382	l_out-14.dst	2	4	4
383	attn_norm-15.dst	2	4	4
384	Qcur_full-15.dst	1	4	4
385	Vcur-15.dst	1	4	4
386	Kcur-15.dst	1	4	4
387	Qcur_normed-15.dst	2	4	4
388	Kcur_normed-15.dst	2	4	4
389	attn_gated-15.dst	1	4	4
390	node_1485.dst	1	4	4
391	attn_output-15.dst	1	4	4
392	attn_residual-15.dst	1	4	4
